Title,Authors,zbMATH_ID,Keywords,MSCs,Refrences,Full text link
\(L\)-fuzzy PS-Urysohn spaces.,"('Bai, Shi-Zhong',)",2188952,"[{'text': '\\(L\\)-topology', 'type': 'uncontrolled'}, {'text': 'pre-semiopen set', 'type': 'uncontrolled'}, {'text': 'PS-Urysohn space', 'type': 'uncontrolled'}]","[{'code': '54A40', 'scheme': 'msc2020', 'text': 'Fuzzy topology'}, {'code': '54D10', 'scheme': 'msc2020', 'text': 'Lower separation axioms (\\(T_0\\)--\\(T_3\\), etc.)', 'text_mathjax': 'Lower separation axioms (\\(T_0\\)&ndash;\\(T_3\\), etc.)'}]",1,No doi or fulltext link available
A conic integer programming approach to stochastic joint location-inventory problems.,"('AtamtÃ¼rk, Alper', 'Berenguer, Gemma', 'Shen, Zuo-Jun (Max)')",6088883,"[{'text': 'integrated supply chain', 'type': 'uncontrolled'}, {'text': 'risk pooling', 'type': 'uncontrolled'}, {'text': 'conic mixed-integer program', 'type': 'uncontrolled'}, {'text': 'polymatroids', 'type': 'uncontrolled'}, {'text': 'covers', 'type': 'uncontrolled'}]","[{'code': '90B80', 'scheme': 'msc2020', 'text': 'Discrete location and assignment'}, {'code': '90C10', 'scheme': 'msc2020', 'text': 'Integer programming'}]",22,['10.1287/opre.1110.1037']
A global study of extremal surfaces in 3-dimensional Minkowski space.,"('Gu, Chaohao',)",664.53004,No keywords available,No MSCs available,No refrences available,https://link.springer.com/chapter/10.1007/BFb0077678/?error=cookies_not_supported&code=db86e054-d10d-4998-bdd9-3facb2ef5773
A meshless method with enriched weight functions for fatigue crack growth.,"('Duflot, Marc', 'Nguyen-Dang, Hung')",2126781,"[{'text': 'Meshless method', 'type': 'uncontrolled'}, {'text': 'fracture mechanics', 'type': 'uncontrolled'}, {'text': 'crack propagation', 'type': 'uncontrolled'}, {'text': 'enriched weight functions', 'type': 'uncontrolled'}]","[{'code': '74S30', 'scheme': 'msc2010', 'text': 'Other numerical methods in solid mechanics'}, {'code': '74R10', 'scheme': 'msc2020', 'text': 'Brittle fracture'}]",31,['10.1002/nme.948']
A nonlinear Liouville theorem for fractional equations in the Heisenberg group.,"('Cinti, Eleonora', 'Tan, Jinggang')",6485378,"[{'text': 'fractional sub-Laplacian', 'type': 'uncontrolled'}, {'text': 'Heisenberg group', 'type': 'uncontrolled'}, {'text': 'Liouville theorem', 'type': 'uncontrolled'}, {'text': 'moving plane method', 'type': 'uncontrolled'}]","[{'code': '35R03', 'scheme': 'msc2020', 'text': 'PDEs on Heisenberg groups, Lie groups, Carnot groups, etc.'}, {'code': '35B53', 'scheme': 'msc2020', 'text': 'Liouville theorems and PhragmÃ©n-LindelÃ¶f theorems in context of PDEs'}, {'code': '35R11', 'scheme': 'msc2020', 'text': 'Fractional partial differential equations'}, {'code': '35H20', 'scheme': 'msc2020', 'text': 'Subelliptic equations'}]",4,['10.1016/j.jmaa.2015.07.050']
A note on the continuous extensions of injective morphisms between free groups to relatively free profinite groups.,"('Coulbois, Thierry', 'Sapir, Mark', 'Weil, Pascal')",2109795,"[{'text': 'profinite groups', 'type': 'uncontrolled'}, {'text': 'pseudovarieties of finite groups', 'type': 'uncontrolled'}, {'text': 'free groups', 'type': 'uncontrolled'}]","[{'code': '20E18', 'scheme': 'msc2020', 'text': 'Limits, profinite groups'}, {'code': '20E05', 'scheme': 'msc2020', 'text': 'Free nonabelian groups'}, {'code': '20E36', 'scheme': 'msc2020', 'text': 'Automorphisms of infinite groups'}]",2,['10.5565/PUBLMAT_47203_10']
A perturbation of the Dunkl harmonic oscillator on the line,"('Ãlvarez LÃ³pez, JesÃºs A.', 'Calaza, Manuel; Franco, Carlos')",1360.47003_source,No keywords available,No MSCs available,No refrences available,https://www.emis.de/journals/SIGMA/2015/059/sigma15-059v1.pdf
A posteriori error estimation for the Legendre collocation method applied to integral-algebraic Volterra equations.,"('Pishbin, S.', 'Ghoreishi, F.', 'Hadizadeh, M.')",6288327,"[{'text': 'integral algebraic equations', 'type': 'uncontrolled'}, {'text': 'system of Volterra integral equations', 'type': 'uncontrolled'}, {'text': 'Legendre collocation method', 'type': 'uncontrolled'}, {'text': 'error analysis', 'type': 'uncontrolled'}, {'text': 'numerical examples', 'type': 'uncontrolled'}, {'text': 'convergence', 'type': 'uncontrolled'}]","[{'code': '65R20', 'scheme': 'msc2020', 'text': 'Numerical methods for integral equations'}, {'code': '45D05', 'scheme': 'msc2020', 'text': 'Volterra integral equations'}, {'code': '45F05', 'scheme': 'msc2020', 'text': 'Systems of nonsingular linear integral equations'}, {'code': '45G15', 'scheme': 'msc2020', 'text': 'Systems of nonlinear integral equations'}]",16,No doi or fulltext link available
A unified framework for numerically inverting Laplace transforms.,"('Abate, Joseph', 'Whitt, Ward')",6047415,"[{'text': 'Laplace transforms', 'type': 'uncontrolled'}, {'text': 'numerical transform', 'type': 'uncontrolled'}, {'text': 'inversion Fourier-series method', 'type': 'uncontrolled'}, {'text': ""Talbot's method"", 'type': 'uncontrolled', 'text_mathjax': 'Talbot&rsquo;s method'}, {'text': 'Gaver-Stehfest algorithm', 'type': 'uncontrolled'}, {'text': 'multi-precision computing', 'type': 'uncontrolled'}, {'text': 'multidimensional Laplace transforms', 'type': 'uncontrolled'}, {'text': 'multidimensional transform inversion', 'type': 'uncontrolled'}]","[{'code': '65R10', 'scheme': 'msc2020', 'text': 'Numerical methods for integral transforms'}, {'code': '44A10', 'scheme': 'msc2020', 'text': 'Laplace transform'}]",78,['10.1287/ijoc.1050.0137']
Additive-quadratic \(\rho\)-functional inequalities in fuzzy Banach spaces.,"('Lee, Sung Jin', 'Seo, Jeong Pil')",6622790,"[{'text': 'Hyers-Ulam stability', 'type': 'uncontrolled'}, {'text': 'quadratic inequality', 'type': 'uncontrolled'}, {'text': '\\(\\rho\\)-functional', 'type': 'uncontrolled'}, {'text': 'inequality', 'type': 'uncontrolled'}, {'text': 'fuzzy norm', 'type': 'uncontrolled'}, {'text': 'fuzzy Banach space', 'type': 'uncontrolled'}]","[{'code': '39B62', 'scheme': 'msc2020', 'text': 'Functional inequalities, including subadditivity, convexity, etc.'}, {'code': '46S40', 'scheme': 'msc2020', 'text': 'Fuzzy functional analysis'}, {'code': '39B52', 'scheme': 'msc2020', 'text': 'Functional equations for functions with more general domains and/or ranges'}, {'code': '39B82', 'scheme': 'msc2020', 'text': 'Stability, separation, extension, and related topics for functional equations'}, {'code': '47S40', 'scheme': 'msc2020', 'text': 'Fuzzy operator theory'}]",0,['10.7468/jksmeb.2016.23.2.163']
