Title,Authors,zbMATH_ID,Keywords,MSCs,Refrences,Full text link
\(W_2\)-recurrent LP-Sasakian manifold.,"('Pokhariyal, G. P.', 'Moindi, S. K.', 'Nzimbi, B. M.')",6234446,"[{'text': 'LP-Sasakian manifold', 'type': 'uncontrolled'}, {'text': '\\(W_2\\)-curvature tensor', 'type': 'uncontrolled'}]","[{'code': '53C15', 'scheme': 'msc2020', 'text': 'General geometric structures on manifolds (almost complex, almost product structures, etc.)'}, {'code': '53C25', 'scheme': 'msc2020', 'text': 'Special Riemannian manifolds (Einstein, Sasakian, etc.)'}]",0,No doi or fulltext link available
A correct algorithm for hinge vertices problem of a permutation graph.,"('Honma, Hirotoshi', 'Nakajima, Yoko', 'Abe, Kodai')",6245974,No keywords available,"[{'code': '68R10', 'scheme': 'msc2020', 'text': 'Graph theory (including graph drawing) in computer science'}, {'code': '05C85', 'scheme': 'msc2020', 'text': 'Graph algorithms (graph-theoretic aspects)'}, {'code': '68W40', 'scheme': 'msc2020', 'text': 'Analysis of algorithms'}]",0,No doi or fulltext link available
A multi-agent based self-adaptive genetic algorithm for the long-term car pooling problem.,"('Guo, Yuhan', 'Goncalves, Gilles', 'Hsu, Tienté')",6211881,"[{'text': 'multi-agent system', 'type': 'uncontrolled'}, {'text': 'genetic algorithm', 'type': 'uncontrolled'}, {'text': 'adaptive algorithm', 'type': 'uncontrolled'}, {'text': 'routing', 'type': 'uncontrolled'}, {'text': 'car pooling problem', 'type': 'uncontrolled'}]","[{'code': '90C35', 'scheme': 'msc2020', 'text': 'Programming involving graphs or networks'}, {'code': '90C59', 'scheme': 'msc2020', 'text': 'Approximation methods and heuristics in mathematical programming'}, {'code': '90B35', 'scheme': 'msc2020', 'text': 'Deterministic scheduling theory in operations research'}, {'code': '90B06', 'scheme': 'msc2020', 'text': 'Transportation, logistics and supply chain management'}, {'code': '90C29', 'scheme': 'msc2020', 'text': 'Multi-objective and goal programming'}]",2,['10.1007/s10852-012-9175-7']
A new application of boundary integral behaviors of harmonic functions to the least harmonic majorant.,"('Han, Minghua', 'Sun, Jianguo', 'Xue, Gaoying')",6806915,"[{'text': 'smooth cone', 'type': 'uncontrolled'}]","[{'code': '35B45', 'scheme': 'msc2020', 'text': 'A priori estimates in context of PDEs'}, {'code': '31B05', 'scheme': 'msc2020', 'text': 'Harmonic, subharmonic, superharmonic functions in higher dimensions'}]",1,['10.1186/s13661-017-0798-5']
A new generalized resolvent and application in Banach mappings.,"('Wang, Xian', 'Chen, Jun-Min', 'He, Zhen')",6492895,"[{'text': 'generalized resolvent', 'type': 'uncontrolled'}, {'text': 'generalized projection', 'type': 'uncontrolled'}, {'text': 'uniformly smooth Banach space', 'type': 'uncontrolled'}, {'text': 'weak nonexpansive mapping', 'type': 'uncontrolled'}, {'text': 'monotone mapping', 'type': 'uncontrolled'}, {'text': 'strong convergence', 'type': 'uncontrolled'}]","[{'code': '47J25', 'scheme': 'msc2020', 'text': 'Iterative procedures involving nonlinear operators'}, {'code': '47H05', 'scheme': 'msc2020', 'text': 'Monotone operators and generalizations'}, {'code': '47H10', 'scheme': 'msc2020', 'text': 'Fixed-point theorems'}]",0,['10.7858/eamj.2014.007']
A perturbation of the Dunkl harmonic oscillator on the line.,"('Álvarez López, Jesús A.', 'Calaza, Manuel', 'Franco, Carlos')",6498750,"[{'text': 'Dunkl harmonic oscillator', 'type': 'uncontrolled'}, {'text': 'perturbation theory', 'type': 'uncontrolled'}]","[{'code': '47A55', 'scheme': 'msc2020', 'text': 'Perturbation theory of linear operators'}, {'code': '47B25', 'scheme': 'msc2020', 'text': 'Linear symmetric and selfadjoint operators (unbounded)'}, {'code': '33C45', 'scheme': 'msc2020', 'text': 'Orthogonal polynomials and functions of hypergeometric type (Jacobi, Laguerre, Hermite, Askey scheme, etc.)'}]",2,['10.3842/SIGMA.2015.059']
Additive-quadratic \(\rho\)-functional inequalities in fuzzy normed spaces.,"('Yun, Sungsik', 'Lee, Jung Rye', 'Shin, Dong Yun')",6644990,"[{'text': 'fuzzy Banach space', 'type': 'uncontrolled'}, {'text': 'additive-quadratic \\(\\rho\\)-functional inequality', 'type': 'uncontrolled'}, {'text': 'Hyers-Ulam stability', 'type': 'uncontrolled'}]","[{'code': '39B82', 'scheme': 'msc2020', 'text': 'Stability, separation, extension, and related topics for functional equations'}, {'code': '39B52', 'scheme': 'msc2020', 'text': 'Functional equations for functions with more general domains and/or ranges'}, {'code': '39B62', 'scheme': 'msc2020', 'text': 'Functional inequalities, including subadditivity, convexity, etc.'}, {'code': '46S40', 'scheme': 'msc2020', 'text': 'Fuzzy functional analysis'}, {'code': '26E50', 'scheme': 'msc2020', 'text': 'Fuzzy real analysis'}]",0,['10.7468/jksmeb.2016.23.3.247']
Alternating group actions on spin 4-manifolds.,"('Li, Hongxia', 'Liu, Ximin')",5361553,"[{'text': 'Betti number', 'type': 'uncontrolled'}, {'text': 'intersection form', 'type': 'uncontrolled'}]","[{'code': '53C27', 'scheme': 'msc2020', 'text': 'Spin and Spin\\({}^c\\) geometry'}]",0,['10.7146/math.scand.a-15051']
An analytical approach to the Klein-Gordon and the Dirac relativistic oscillators in a non-commutative space under a constant magnetic field.,"('Sammelson, Robert Erik', 'Heidari, Alireza', 'Tayyari, Sayyed Faramarz')",5950069,"[{'text': 'plagiarism', 'type': 'uncontrolled'}]","[{'code': '81R60', 'scheme': 'msc2020', 'text': 'Noncommutative geometry in quantum theory'}]",1,['10.1016/j.cnsns.2009.05.033']
An inverse spectral problem for the Sturm-Liouville operator on a three-star graph.,"('Tazehkand, I. Dehghani', 'Akbarfam, A. Jodayree')",6172922,"[{'text': 'Robin boundary conditions', 'type': 'uncontrolled'}, {'text': 'Dirichlet-Dirichlet problem', 'type': 'uncontrolled'}, {'text': 'inverse spectral problem', 'type': 'uncontrolled'}]","[{'code': '34B24', 'scheme': 'msc2020', 'text': 'Sturm-Liouville theory'}, {'code': '34A55', 'scheme': 'msc2020', 'text': 'Inverse problems involving ordinary differential equations'}, {'code': '34B45', 'scheme': 'msc2020', 'text': 'Boundary value problems on graphs and networks for ordinary differential equations'}]",0,['10.5402/2012/132842']
